,id,station,date,prcp,tobs
107,19512,USC00516128,2017-07-15,0.1,78.0
108,2687,USC00519397,2017-07-14,0.02,81.0
109,5416,USC00513117,2017-07-14,0.05,80.0
110,7599,USC00514830,2017-07-14,0.0,80.0
111,12152,USC00519523,2017-07-14,0.0,80.0
112,14933,USC00519281,2017-07-14,0.2,76.0
113,19511,USC00516128,2017-07-14,0.68,76.0
114,2686,USC00519397,2017-07-13,0.07,79.0
115,5415,USC00513117,2017-07-13,0.33,76.0
116,7598,USC00514830,2017-07-13,0.3,81.0
117,8998,USC00517948,2017-07-13,,81.0
118,12151,USC00519523,2017-07-13,0.11,79.0
119,14932,USC00519281,2017-07-13,0.32,74.0
120,19510,USC00516128,2017-07-13,0.68,77.0
121,2685,USC00519397,2017-07-12,0.0,81.0
122,5414,USC00513117,2017-07-12,0.01,78.0
123,7597,USC00514830,2017-07-12,0.02,81.0
124,8997,USC00517948,2017-07-12,,80.0
125,12150,USC00519523,2017-07-12,0.0,82.0
126,14931,USC00519281,2017-07-12,0.28,74.0
127,19509,USC00516128,2017-07-12,0.05,72.0
128,2684,USC00519397,2017-07-11,0.0,78.0
129,5413,USC00513117,2017-07-11,0.01,76.0
130,7596,USC00514830,2017-07-11,0.0,79.0
131,8996,USC00517948,2017-07-11,,81.0
132,12149,USC00519523,2017-07-11,0.0,79.0
133,14930,USC00519281,2017-07-11,0.02,72.0
134,19508,USC00516128,2017-07-11,0.0,74.0
135,2683,USC00519397,2017-07-10,0.0,80.0
136,5412,USC00513117,2017-07-10,0.0,79.0
137,7595,USC00514830,2017-07-10,0.0,80.0
138,8995,USC00517948,2017-07-10,,78.0
139,12148,USC00519523,2017-07-10,0.0,82.0
140,14929,USC00519281,2017-07-10,0.02,69.0
141,19507,USC00516128,2017-07-10,0.02,77.0
142,2682,USC00519397,2017-07-09,0.0,80.0
143,5411,USC00513117,2017-07-09,0.09,76.0
144,7594,USC00514830,2017-07-09,0.0,82.0
145,12147,USC00519523,2017-07-09,0.0,82.0
146,14928,USC00519281,2017-07-09,0.11,78.0
147,19506,USC00516128,2017-07-09,0.0,78.0
148,2681,USC00519397,2017-07-08,0.0,80.0
149,5410,USC00513117,2017-07-08,0.02,76.0
150,7593,USC00514830,2017-07-08,0.06,81.0
151,12146,USC00519523,2017-07-08,0.0,77.0
152,14927,USC00519281,2017-07-08,0.0,78.0
153,19505,USC00516128,2017-07-08,0.02,71.0
154,2680,USC00519397,2017-07-07,0.0,79.0
155,5409,USC00513117,2017-07-07,0.02,77.0
156,7592,USC00514830,2017-07-07,,77.0
157,8994,USC00517948,2017-07-07,,79.0
158,12145,USC00519523,2017-07-07,0.0,79.0
159,14926,USC00519281,2017-07-07,0.18,75.0
160,19504,USC00516128,2017-07-07,0.3,74.0
161,2679,USC00519397,2017-07-06,0.0,81.0
162,5408,USC00513117,2017-07-06,0.0,76.0
163,8993,USC00517948,2017-07-06,,79.0
164,12144,USC00519523,2017-07-06,0.0,79.0
165,14925,USC00519281,2017-07-06,0.0,74.0
166,19503,USC00516128,2017-07-06,0.02,74.0
167,2678,USC00519397,2017-07-05,0.0,80.0
168,5407,USC00513117,2017-07-05,0.0,77.0
169,7591,USC00514830,2017-07-05,,81.0
170,8992,USC00517948,2017-07-05,,80.0
171,12143,USC00519523,2017-07-05,,80.0
172,14924,USC00519281,2017-07-05,0.0,77.0
173,19502,USC00516128,2017-07-05,0.0,75.0
174,2677,USC00519397,2017-07-04,0.04,80.0
175,5406,USC00513117,2017-07-04,0.03,77.0
176,14923,USC00519281,2017-07-04,0.08,78.0
177,19501,USC00516128,2017-07-04,0.0,77.0
178,2676,USC00519397,2017-07-03,0.04,78.0
179,5405,USC00513117,2017-07-03,0.13,77.0
180,7590,USC00514830,2017-07-03,,81.0
181,8991,USC00517948,2017-07-03,,87.0
182,12142,USC00519523,2017-07-03,0.02,81.0
183,14922,USC00519281,2017-07-03,0.15,76.0
184,19500,USC00516128,2017-07-03,0.4,77.0
185,2675,USC00519397,2017-07-02,0.02,80.0
186,5404,USC00513117,2017-07-02,0.05,77.0
187,12141,USC00519523,2017-07-02,,80.0
188,14921,USC00519281,2017-07-02,0.15,81.0
189,19499,USC00516128,2017-07-02,0.5,78.0
190,2674,USC00519397,2017-07-01,0.02,80.0
191,5403,USC00513117,2017-07-01,0.06,76.0
192,14920,USC00519281,2017-07-01,0.08,79.0
193,19498,USC00516128,2017-07-01,0.1,74.0
194,2341,USC00519397,2016-07-31,0.06,76.0
195,5068,USC00513117,2016-07-31,0.05,76.0
196,11828,USC00519523,2016-07-31,0.79,80.0
197,14585,USC00519281,2016-07-31,0.12,75.0
198,19179,USC00516128,2016-07-31,2.9,75.0
199,2340,USC00519397,2016-07-30,0.0,78.0
200,5067,USC00513117,2016-07-30,0.03,76.0
201,11827,USC00519523,2016-07-30,0.08,77.0
202,14584,USC00519281,2016-07-30,0.01,77.0
203,19178,USC00516128,2016-07-30,0.4,76.0
204,2339,USC00519397,2016-07-29,0.0,79.0
205,5066,USC00513117,2016-07-29,0.0,77.0
206,7312,USC00514830,2016-07-29,0.01,76.0
207,11826,USC00519523,2016-07-29,0.0,82.0
208,14583,USC00519281,2016-07-29,0.0,80.0
209,19177,USC00516128,2016-07-29,0.05,74.0
210,2338,USC00519397,2016-07-28,0.0,80.0
211,5065,USC00513117,2016-07-28,0.0,78.0
212,7311,USC00514830,2016-07-28,0.05,81.0
213,11825,USC00519523,2016-07-28,0.0,82.0
214,14582,USC00519281,2016-07-28,0.0,81.0
215,19176,USC00516128,2016-07-28,0.0,76.0
216,2337,USC00519397,2016-07-27,0.0,80.0
217,5064,USC00513117,2016-07-27,0.02,78.0
218,7310,USC00514830,2016-07-27,0.0,82.0
219,8810,USC00517948,2016-07-27,,77.0
220,11824,USC00519523,2016-07-27,0.0,83.0
221,14581,USC00519281,2016-07-27,0.06,80.0
222,19175,USC00516128,2016-07-27,0.04,76.0
223,2336,USC00519397,2016-07-26,0.0,80.0
224,5063,USC00513117,2016-07-26,0.0,77.0
225,8809,USC00517948,2016-07-26,0.01,82.0
226,11823,USC00519523,2016-07-26,0.0,80.0
227,14580,USC00519281,2016-07-26,0.9,78.0
228,19174,USC00516128,2016-07-26,0.03,76.0
229,2335,USC00519397,2016-07-25,4.2,78.0
230,5062,USC00513117,2016-07-25,7.65,78.0
231,7309,USC00514830,2016-07-25,,77.0
232,8808,USC00517948,2016-07-25,,81.0
233,11822,USC00519523,2016-07-25,3.01,80.0
234,14579,USC00519281,2016-07-25,9.64,78.0
235,19173,USC00516128,2016-07-25,5.35,81.0
236,2334,USC00519397,2016-07-24,0.13,79.0
237,5061,USC00513117,2016-07-24,0.15,78.0
238,11821,USC00519523,2016-07-24,0.18,78.0
239,14578,USC00519281,2016-07-24,0.45,76.0
240,19172,USC00516128,2016-07-24,2.75,75.0
241,2333,USC00519397,2016-07-23,0.0,78.0
242,5060,USC00513117,2016-07-23,0.16,76.0
243,11820,USC00519523,2016-07-23,,79.0
244,14577,USC00519281,2016-07-23,0.07,75.0
245,19171,USC00516128,2016-07-23,,74.0
246,2332,USC00519397,2016-07-22,0.02,76.0
247,5059,USC00513117,2016-07-22,0.06,77.0
248,7308,USC00514830,2016-07-22,0.0,78.0
249,14576,USC00519281,2016-07-22,0.13,78.0
250,2331,USC00519397,2016-07-21,0.04,78.0
251,5058,USC00513117,2016-07-21,0.04,77.0
252,8807,USC00517948,2016-07-21,,78.0
253,11819,USC00519523,2016-07-21,0.06,80.0
254,14575,USC00519281,2016-07-21,0.01,79.0
255,2330,USC00519397,2016-07-20,0.0,78.0
256,5057,USC00513117,2016-07-20,0.0,78.0
257,7307,USC00514830,2016-07-20,0.0,79.0
258,8806,USC00517948,2016-07-20,,78.0
259,11818,USC00519523,2016-07-20,0.02,82.0
260,14574,USC00519281,2016-07-20,0.02,80.0
261,19170,USC00516128,2016-07-20,0.08,74.0
262,2329,USC00519397,2016-07-19,0.03,78.0
263,5056,USC00513117,2016-07-19,0.08,75.0
264,7306,USC00514830,2016-07-19,0.43,80.0
265,8805,USC00517948,2016-07-19,0.5,79.0
266,11817,USC00519523,2016-07-19,0.11,80.0
267,14573,USC00519281,2016-07-19,0.73,79.0
268,19169,USC00516128,2016-07-19,0.41,73.0
269,2328,USC00519397,2016-07-18,1.25,76.0
270,5055,USC00513117,2016-07-18,0.26,76.0
271,7305,USC00514830,2016-07-18,,80.0
272,8804,USC00517948,2016-07-18,,78.0
273,11816,USC00519523,2016-07-18,0.38,76.0
274,14572,USC00519281,2016-07-18,0.23,78.0
275,19168,USC00516128,2016-07-18,0.23,72.0
276,2327,USC00519397,2016-07-17,0.0,78.0
277,5054,USC00513117,2016-07-17,0.03,76.0
278,11815,USC00519523,2016-07-17,0.0,82.0
279,14571,USC00519281,2016-07-17,0.15,77.0
280,19167,USC00516128,2016-07-17,0.55,74.0
281,2326,USC00519397,2016-07-16,0.03,78.0
282,5053,USC00513117,2016-07-16,0.44,75.0
283,7304,USC00514830,2016-07-16,0.65,80.0
284,11814,USC00519523,2016-07-16,0.2,79.0
285,14570,USC00519281,2016-07-16,0.92,73.0
286,19166,USC00516128,2016-07-16,2.05,77.0
287,2325,USC00519397,2016-07-15,0.46,78.0
288,5052,USC00513117,2016-07-15,0.23,74.0
289,7303,USC00514830,2016-07-15,0.43,78.0
290,8803,USC00517948,2016-07-15,,76.0
291,11813,USC00519523,2016-07-15,0.42,80.0
292,14569,USC00519281,2016-07-15,0.14,80.0
293,19165,USC00516128,2016-07-15,1.7,71.0
294,2324,USC00519397,2016-07-14,0.0,79.0
295,5051,USC00513117,2016-07-14,0.43,75.0
296,7302,USC00514830,2016-07-14,0.38,80.0
297,8802,USC00517948,2016-07-14,,78.0
298,11812,USC00519523,2016-07-14,,82.0
299,14568,USC00519281,2016-07-14,0.8,80.0
300,19164,USC00516128,2016-07-14,1.15,73.0
301,2323,USC00519397,2016-07-13,0.0,79.0
302,5050,USC00513117,2016-07-13,0.06,74.0
303,7301,USC00514830,2016-07-13,0.05,78.0
304,8801,USC00517948,2016-07-13,,78.0
305,14567,USC00519281,2016-07-13,0.07,76.0
306,19163,USC00516128,2016-07-13,0.14,75.0
307,2322,USC00519397,2016-07-12,0.0,80.0
308,5049,USC00513117,2016-07-12,0.05,77.0
